"TOPPID","FieldID","DepartureDate","DepartureDOY","ArrivalDate","ArrivalDOY","ParturitionDOY","DriftRateSwitchDOY","DepartureDSP","ArrivalDSP","TurnaroundDOY","TurnaroundDistanceKM","TurnaroundLat","TurnaroundLon","TurnaroundDSP"
2004017,"R589","6/6/2004 7:00",158,"1/20/2005 20:00",20,25,NA,-232,-5,334,2426.84851429545,42.3060515895402,-150.030525211777,-56
2004020,"O448","5/27/2004 12:30",148,"1/10/2005 1:15",10,17,277,-234,-7,264,2334.14285792181,42.6429385112201,-148.851811459707,-118
2004021,"M141","5/29/2004 20:15",150,"1/10/2005 22:45",10,15,248,-230,-5,220,4034.21255059822,40.3486623323162,-169.206877444481,-160
2004022,"L563","5/29/2004 19:30",150,"1/11/2005 1:45",11,15,256,-230,-4,307,1465.81822414606,46.7378141183701,-134.495672585339,-73
2004024,"O968","5/27/2004 20:15",148,"1/16/2005 20:00",16,21,271,-238,-5,303,2831.65748988769,44.5437638602766,-154.78667899489,-83
2004025,"R736","6/9/2004 12:30",161,"1/18/2005 18:15",18,23,NA,-227,-5,322,2828.8686359959,44.4953186841828,-154.75796878251,-66
2004028,"N525","6/10/2004 2:15",162,"1/14/2005 0:45",14,20,270,-223,-6,244,3384.52638429639,43.6477652283887,-161.762577043669,-141
2004029,"1595","6/18/2004 18:30",170,"1/31/2005 5:00",31,34,287,-229,-3,273,3734.51086781841,44.1583609483806,-166.163258833939,-126
2004030,"N354","6/19/2004 18:30",171,"1/27/2005 17:15",27,33,NA,-227,-6,298,2038.17321406742,45.9155462366841,-143.932199908054,-100
2004032,"N513","6/10/2004 18:15",162,"1/23/2005 11:45",23,30,247,-233,-7,267,3737.25305236751,46.0826498835183,-166.28931716726,-128
2004035,"L274","6/18/2004 14:30",170,"1/29/2005 7:00",29,34,301,-229,-5,254,3963.81483068263,43.0904409495251,-168.89569321619,-145
2004036,"L752","6/8/2004 8:15",160,"1/19/2005 4:47",19,23,273,-228,-4,282,2863.29481532074,43.2475490523114,-155.309910772429,-106
2005021,"L844","5/24/2005 2:45",144,"1/8/2006 11:00",8,11,253,-232,-3,324,2161.38982914453,42.1065952155186,-146.818328182866,-52
2005022,"O651","5/30/2005 12:00",150,"1/5/2006 20:00",5,11,NA,-226,-6,332,1948.04462985792,45.2655839403824,-143.045588209106,-44
2005024,"1544","5/23/2005 5:00",143,"1/2/2006 0:00",2,8,283,-230,-6,284,2291.52592481945,45.3627962999728,-147.609104220605,-89
2005025,"O911","6/5/2005 14:00",156,"1/12/2006 5:30",12,18,NA,-227,-6,288,3895.13493372872,43.5621422296417,-168.109545834965,-95
2005026,"K598","5/30/2005 1:30",150,"1/4/2006 4:15",4,9,NA,-224,-5,271,2589.88164288162,41.4752964078713,-152.055144002877,-103
2005027,"L521","5/30/2005 11:45",150,"1/8/2006 8:45",8,15,245,-230,-7,315,2232.52930594475,43.6715957816319,-147.377145485004,-65
2005028,"O 55","5/16/2005 0:45",136,"1/5/2006 10:00",5,9,NA,-238,-4,338,41.905922712204,36.7569539870015,-122.16604492906,-36
2005029,"L563","6/1/2005 23:15",152,"1/14/2006 21:45",14,19,274,-232,-5,271,1555.8585634074,47.2478069336929,-135.420149146482,-113
2005030,"R797","6/5/2005 5:45",156,"1/18/2006 7:00",18,24,259,-233,-6,246,3403.92923700526,40.5069197539838,-161.707312214277,-143
2005031,"O401","5/31/2005 1:00",151,"1/12/2006 0:15",12,16,268,-230,-4,343,1176.52327869152,46.8918168271838,-127.782171776345,-38
2005033,"O448","6/4/2005 2:30",155,"1/14/2006 5:00",14,21,305,-231,-7,313,2214.515022128,44.4462960692427,-146.921907992857,-73
2005034,"M141","6/10/2005 20:45",161,"1/15/2006 10:15",15,22,265,-226,-7,254,3888.57556930309,42.881923872442,-167.933119731444,-133
2005036,"1914","6/15/2005 6:45",166,"1/23/2006 1:15",23,28,264,-227,-5,329,2142.81490314491,44.0431391474146,-146.12796321386,-64
2005040,"O585","6/25/2005 22:15",176,"1/25/2006 15:15",25,34,273,-223,-9,239,3897.01876075513,44.4214276561197,-168.233676300687,-160
2006039,"M780","6/1/2006 12:00",152,"1/15/2007 0:00",15,18,272,-231,-3,287,1690.33016298745,47.0556757898498,-137.914053473873,-96
2006043,"L720","6/1/2006 22:15",152,"1/16/2007 0:30",16,21,NA,-234,-5,209,3590.66424684716,42.1682551179008,-164.182744497045,-177
2006044,"O256","6/5/2006 14:00",156,"1/23/2007 19:00",23,26,NA,-235,-3,270,4955.02484318669,44.5373448856154,178.260610481212,-121
2006047,"R575","5/29/2006 7:00",149,"1/15/2007 10:00",15,20,NA,-236,-5,323,1510.79529502628,48.0567722421759,-133.331080167613,-62
2006048,"1817","6/6/2006 21:00",157,"1/20/2007 7:00",20,24,266,-232,-4,255,1925.59519454586,50.4752576483959,-137.743185931075,-134
2006050,"1641","6/2/2006 1:45",153,"1/14/2007 23:00",14,20,NA,-232,-6,230,4276.82881966539,44.1270081136494,-172.987725955448,-155
2006052,"O242","6/7/2006 23:00",158,"1/16/2007 0:00",16,22,NA,-229,-6,290,2232.68355457025,42.167057,-147.679245,-97
2006054,"R749","6/11/2006 1:30",162,"1/21/2007 23:00",21,26,NA,-229,-5,340,1111.61503234557,43.740831973868,-132.184937290333,-51
2006055,"M583","6/14/2006 5:00",165,"1/19/2007 14:00",19,23,275,-223,-4,274,2504.37649259559,47.1306325273565,-149.769450854278,-114
2006057,"1502","6/14/2006 6:00",165,"1/21/2007 22:00",21,26,293,-226,-5,352,1103.95134247482,46.4975835733842,-126.681472289812,-39
2006059,"M141","6/20/2006 17:30",171,"1/23/2007 7:00",23,26,272,-220,-3,267,3827.32425615088,43.1210558647312,-167.20955011071,-124
2006060,"R299","6/19/2006 12:30",170,"1/21/2007 20:15",21,29,NA,-224,-8,265,3105.73434931355,56.3088360896743,-152.745666380873,-129
2006061,"O564","6/18/2006 2:00",169,"1/24/2007 2:00",24,29,280,-225,-5,219,2901.83366141291,42.5677861177292,-155.80945858259,-175
2007033,"N981","6/13/2007 1:00",164,"1/18/2008 1:15",18,24,269,-225,-6,248,3521.15497228159,45.5193623537526,-163.502382984082,-141
2007047,"WX403","6/3/2007 4:00",154,"1/13/2008 23:30",13,17,268,-228,-4,232,4216.36574723669,43.10456,-172.034713,-150
2007048,"R148","6/5/2007 5:45",156,"1/17/2008 13:30",17,22,242,-231,-5,305,3401.65780377283,45.814316,-161.953529,-82
2007049,"N558","5/24/2007 19:15",144,"1/8/2008 7:45",8,13,294,-234,-5,304,1463.71764499092,48.839895,-130.552258,-74
2008029,"2888","5/27/2008 11:16",148,"12/28/2008 22:08",-2,3,255,-220,-5,264,2356.97724558478,46.152538418336,-148.173169535381,-104
2008030,"1968","5/19/2008 17:26",140,"1/2/2009 0:49",2,8,225,-233,-6,319,2587.61354916174,41.4271731594175,-152.028957748107,-54
2008031,"WX311","5/26/2008 6:04",147,"1/8/2009 14:47",8,12,NA,-230,-4,204,3220.54487715799,41.7672558497162,-159.653700338424,-173
2008033,"M251","5/22/2008 20:06",143,"1/3/2009 4:02",3,12,253,-234,-9,287,2200.94205495499,45.1311113149488,-146.499407707099,-90
2008035,"1361","6/1/2008 17:04",153,"1/13/2009 19:50",13,20,264,-232,-7,231,3632.03661324901,42.9307312697921,-164.775841668838,-154
2008038,"2386","5/19/2008 6:12",140,"1/5/2009 2:50",5,10,NA,-235,-5,259,1758.5897092544,47.3455402598829,-138.717870648222,-116
2008039,"R975","5/27/2008 15:15",148,"1/8/2009 20:53",8,12,240,-229,-4,273,3908.38797953421,43.4440099123999,-168.258916721528,-104
2008041,"O 80","6/9/2008 4:01",161,"1/9/2009 15:52",9,14,262,-218,-5,239,3635.34407425155,43.015302,-164.825284,-140
2008042,"2780","6/7/2008 11:26",159,"1/9/2009 9:26",9,13,280,-219,-4,292,3631.97360500621,41.985123,-164.661918,-86
2008048,"T588","5/29/2008 4:13",150,"1/10/2009 4:54",10,15,348,-230,-5,322,1210.44794813032,45.5683791091559,-131.492453935534,-58
2009035,"R279","6/8/2009 22:28",159,"1/19/2010 21:00",19,26,308,-232,-7,310,2092.86380873623,45.2784944427511,-144.997767845624,-81
2009037,"1015","6/15/2009 20:15",166,"1/22/2010 6:10",22,28,279,-227,-6,313,1562.32219279475,42.849786,-139.118338,-80
2009040,"T761","6/10/2009 21:40",161,"1/22/2010 0:55",22,26,254,-230,-4,332,1996.65156359261,50.444976,-139.161496,-59
2009041,"2098","6/11/2009 7:30",162,"1/14/2010 17:15",14,19,269,-222,-5,215,3486.02957472024,38.748514,-162.347754,-169
2009043,"T151","6/9/2009 15:30",160,"1/13/2010 22:10",13,20,259,-225,-7,329,3185.31727945911,41.783445,-159.22944,-56
2010062,"1968","5/15/2010 3:10",135,"12/29/2010 20:00",-2,4,229,-234,-6,305,2933.53937027394,41.4793274507323,-156.180742293246,-64
2010064,"T740","6/1/2010 14:32",152,"1/13/2011 19:10",13,17,244,-230,-4,342,2403.96211587378,40.6826774361431,-149.851064960695,-40
2010065,"O968","5/26/2010 4:20",146,"1/14/2011 5:50",14,17,NA,-236,-3,312,2655.54049230183,50.8867195383412,-149.835702900941,-70
2010067,"O 80","6/2/2010 11:15",153,"1/9/2011 12:45",9,15,259,-227,-6,256,2921.35518289387,44.5136156671953,-155.926515011977,-124
2010068,"1595","6/5/2010 17:25",156,"1/8/2011 8:10",8,14,NA,-223,-6,225,4283.13078985392,43.36870956,-172.9205933,-154
2010071,"R 55","5/28/2010 3:45",148,"1/13/2011 20:55",13,19,237,-236,-6,279,2400.54557137201,45.5518507710902,-148.982635538931,-105
2010073,"O651","6/8/2010 17:15",159,"1/1/2011 18:10",1,12,229,-218,-11,328,1526.03164500929,44.8308608430702,-137.418060499052,-49
2010075,"R999","6/8/2010 22:35",159,"1/16/2011 21:50",16,24,NA,-230,-8,294,3339.37050755596,44.89011765,-161.1962738,-95
2010078,"T761","6/18/2010 4:20",169,"1/25/2011 4:35",25,28,276,-224,-3,346,1733.76355217158,48.9235679926198,-136.358286031622,-47
2010079,"3249","6/4/2010 16:20",155,"1/11/2011 22:15",11,17,275,-227,-6,327,946.913076562021,44.5034708515412,-127.928717294237,-55
2010081,"2608","6/15/2010 4:45",166,"1/19/2011 20:17",19,23,260,-222,-4,291,2950.77939437212,46.8599426919761,-155.897566115378,-97
2011024,"T167","5/28/2011 15:15",148,"1/5/2012 19:20",5,8,NA,-225,-3,318,1485.21058526995,39.4193816922184,-139.117833548339,-55
2011025,"1326","5/31/2011 20:00",151,"1/10/2012 17:20",10,15,284,-229,-5,347,1118.04416352717,46.4671900734032,-127.285710434225,-33
2011030,"3874","5/25/2011 6:00",145,"1/8/2012 11:45",8,13,300,-233,-5,318,1369.35451568109,45.9371545411609,-133.850573066144,-60
2011031,"3249","6/11/2011 13:30",162,"1/17/2012 14:05",17,24,268,-227,-7,336,1112.93401614791,46.8125884734978,-125.645567758752,-53
2011032,"T730","6/11/2011 4:35",162,"1/15/2012 22:45",15,21,329,-224,-6,329,1235.62224850061,47.4349421144488,-127.910013982237,-57
2011033,"WX444","6/9/2011 3:25",160,"1/23/2012 15:40",23,29,NA,-234,-6,337,2206.22390214928,51.9302967168146,-141.083041365933,-57
2011034,"2036","6/14/2011 9:10",165,"1/24/2012 16:10",24,28,345,-228,-4,323,2072.7502873664,53.9467374495498,-133.934930242622,-70
2011035,"T313","6/10/2011 9:15",161,"1/12/2012 21:00",12,18,248,-222,-6,285,3191.18165548688,45.4492710036496,-159.27001737443,-98
2011036,"T891","6/12/2011 1:20",163,"1/17/2012 19:15",17,25,259,-227,-8,248,3994.21041078587,45.3757055816323,-169.564515047262,-142
2011037,"1775","6/21/2011 12:45",172,"1/26/2012 22:15",26,30,274,-223,-4,271,4993.69732925808,45.7922078994809,177.392493600172,-124
2011038,"3373","6/12/2011 1:35",163,"1/25/2012 18:10",25,32,268,-234,-7,348,988.828684555843,43.4118984151939,-130.572387156256,-49
2011039,"U448","6/6/2011 2:20",157,"1/18/2012 5:05",18,23,274,-231,-5,242,4645.52388962284,45.8025352325262,-178.051176983752,-146
2011040,"U207","6/12/2011 2:30",163,"1/17/2012 10:00",17,24,NA,-226,-7,238,3027.50199056228,46.01984787,-157.0789185,-151
2011043,"T 35","6/22/2011 11:20",173,"1/25/2012 19:50",25,29,268,-221,-4,250,5170.96548887467,44.3718823209469,175.523321527475,-144
2012032,"WX311","5/16/2012 5:00",137,"12/28/2012 18:50",-2,4,NA,-232,-6,304,2346.75787941319,44.5159898073955,-148.60639166348,-65
2012033,"T 42","5/16/2012 19:48",137,"1/2/2013 20:52",2,8,252,-236,-6,305,1939.91733434639,47.4455662164706,-141.461870838358,-68
2012034,"U848","5/19/2012 14:28",140,"12/31/2012 12:00",1,5,NA,-230,-4,201,4059.42234057833,43.1069409473804,-170.084355344419,-169
2012035,"3243","6/6/2012 22:25",158,"1/21/2013 4:40",21,23,NA,-230,-2,357,1963.39994668165,37.785396821841,-144.613629228358,-31
2012037,"U754","6/4/2012 2:45",156,"1/11/2013 2:00",11,18,276,-227,-7,326,1728.75142329992,41.0175928724971,-141.764834451462,-57
2012038,"U203","6/3/2012 5:45",155,"1/13/2013 12:30",13,19,291,-229,-6,330,1813.90657158523,51.0864411290032,-134.169758374921,-54
2012041,"U458","5/30/2012 2:30",151,"1/7/2013 3:15",7,11,NA,-225,-4,219,3834.84914635897,42.6747444655421,-167.240301393183,-157
2012043,"S126","6/12/2012 2:05",164,"1/19/2013 20:05",19,23,269,-224,-4,278,4692.36799971384,43.9468501865541,-178.212563982616,-110
2012044,"U888","6/6/2012 5:40",158,"1/15/2013 3:05",15,18,NA,-225,-3,264,2852.64512088199,47.0752238776526,-154.526703295734,-119
2012045,"U 24","6/7/2012 8:30",159,"1/14/2013 10:17",14,18,NA,-224,-4,326,2705.55523694722,55.8578555536722,-145.393949584169,-57
2012047,"WX540","6/3/2012 8:10",155,"1/12/2013 10:52",12,20,268,-230,-8,316,2870.76226211179,41.4458349893659,-155.425924750223,-69
2012048,"U274","6/4/2012 4:24",156,"1/15/2013 23:10",15,21,267,-230,-6,239,3628.27926103312,41.9522928385894,-164.612552639203,-147
2012049,"U398","6/16/2012 4:45",168,"1/27/2013 21:50",27,30,285,-227,-3,330,2992.51814557655,57.6779548495788,-148.759856629459,-65
2012050,"Y1074","6/10/2012 10:20",162,"1/18/2013 21:20",18,21,NA,-224,-3,275,3478.85757232728,43.05436707,-162.8994141,-111
2013029,"9701","5/28/2013 19:00",148,"1/2/2014 22:00",2,9,292,-226,-7,328,1095.37103732483,41.3770479835547,-133.815500616071,-46
2013030,"3190","5/29/2013 7:38",149,"1/9/2014 2:03",9,13,264,-229,-4,254,2407.93016237297,46.76740265,-148.6025543,-124
2013032,"U848","6/5/2013 14:25",156,"1/7/2014 14:28",7,15,247,-224,-8,291,3793.85017965684,43.0065564495445,-166.780689518062,-89
2013034,"9550","6/9/2013 3:10",160,"1/22/2014 6:40",22,27,NA,-232,-5,251,4140.06247738385,49.17461777,-171.6850586,-141
2013037,"9709","6/8/2013 3:05",159,"1/20/2014 20:00",20,26,263,-232,-6,315,3485.50760650938,42.1236741095284,-162.89752261118,-76
2013039,"9720","6/9/2013 3:49",160,"1/21/2014 14:54",21,28,281,-233,-7,268,2619.6354248203,47.27064896,-151.2962494,-125
2013041,"4534","6/12/2013 9:19",163,"1/26/2014 17:05",26,30,329,-232,-4,338,2123.80730747188,48.2888916475485,-143.584279557783,-57
2013043,"X387","6/10/2013 4:30",161,"1/15/2014 13:17",15,21,271,-225,-6,273,3711.09138086983,46.38689423,-165.9503784,-113
2014023,"T167","5/27/2014 0:45",147,"12/30/2014 22:15",-1,11,NA,-229,-12,343,211.713738627557,35.9150990948843,-124.18275305209,-33
2014026,"3190","6/6/2014 23:00",157,"1/13/2015 0:00",13,19,NA,-227,-6,302,1915.48393455407,44.4889158259724,-142.992422197397,-82
2014027,"U186","6/5/2014 0:05",156,"1/20/2015 0:00",20,24,NA,-233,-4,353,1096.73994037908,46.6430085135852,-125.740525333059,-36
2014031,"4534","6/22/2014 5:45",173,"1/21/2015 2:50",21,28,NA,-220,-7,345,1796.85149103611,45.3341234089622,-140.917089859407,-48
2014033,"T220","6/24/2014 21:00",175,"1/22/2015 14:15",22,30,NA,-220,-8,249,3950.35083417253,43.7907239294422,-168.829294097504,-146
2014034,"3373","6/17/2014 18:15",168,"1/26/2015 0:00",26,27,NA,-224,-1,273,3962.16547213341,41.8245184495641,-168.65530337648,-119
2014036,"9507","6/23/2014 7:30",174,"1/26/2015 0:00",26,30,NA,-221,-4,301,3803.95958216893,41.4089828725289,-166.656881312233,-94
2014038,"U448","6/16/2014 3:00",167,"1/22/2015 16:30",22,26,NA,-224,-4,262,5456.55739723854,43.48031998,172.16215515,-129
2014039,"X721","6/20/2014 9:25",171,"1/27/2015 0:00",27,32,NA,-226,-5,273,3228.47979163625,45.289372458373,-159.761683674768,-124
2014040,"VX518","6/18/2014 23:20",169,"1/27/2015 0:00",27,34,NA,-230,-7,252,4429.00116702097,45.665261590106,-175.209136491949,-147
2015026,"X822","5/30/2015 1:15",150,"1/6/2016 20:40",6,12,NA,-227,-6,326,1906.91883674057,49.5284757947833,-138.735331679766,-51
2015027,"X 58","6/4/2015 20:20",155,"1/17/2016 6:30",17,20,NA,-230,-3,275,3449.1987942791,46.5044487419792,-162.525953169445,-110
2015029,"X  1","5/30/2015 2:20",150,"1/9/2016 22:51",9,13,NA,-228,-4,248,3620.11238197241,43.6873974334917,-164.695934326471,-130
2015031,"5624","6/8/2015 21:15",159,"1/18/2016 6:30",18,21,NA,-227,-3,256,3224.04006032875,46.5388072369111,-159.57138796688,-130
